"References","Value","Quantity","Manufacturer","MPN","DigiKey Part Number","DigiKey URL","Footprint","DNP","Purchase Quantity","Notes"
"A1","Electrosmith_Daisy_Seed_Rev4","1","Electrosmith","","","","Module:Electrosmith_Daisy_Seed","","0","Already purchased separately; use existing Daisy module. Legacy schematic symbol name retained; no DigiKey purchase."
"C1","100pF","1","YAGEO","CC1206JRNPO9BN101","311-1161-1-ND","https://www.digikey.com/en/products/detail/yageo/CC1206JRNPO9BN101/302895","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","1","100pF; 50V; C0G/NP0; 5%; 1206; cut tape."
"C2","1nF","1","YAGEO","CC1206JRNPO9BN102","311-1163-1-ND","https://www.digikey.com/en/products/detail/yageo/CC1206JRNPO9BN102/302897","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","1","1nF; 50V; C0G/NP0; 5%; 1206; cut tape."
"C3,C5,C16","1uF","3","Samsung Electro-Mechanics","CL31B105KBHSNNE","1276-3093-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B105KBHSNNE/3891179","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","3","1uF; 50V; X7R; 10%; 1206; cut tape."
"C7","47uF","1","Samsung Electro-Mechanics","CL32A476KOJNNNE","1276-3376-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL32A476KOJNNNE/3889034","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","","1","47uF; 16V; X5R; 10%; 1210; cut tape."
"C8,C10,C11,C17","100nF","4","Samsung Electro-Mechanics","CL31B104KBCNNNC","1276-1017-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3889103","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","4","100nF; 50V; X7R; 10%; 1206; cut tape."
"C9","10uF","1","Taiyo Yuden","GMK316BJ106KL-T","587-2484-1-ND","https://www.digikey.com/en/products/detail/taiyo-yuden/GMK316BJ106KL-T/2217972","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","1","10uF; 35V; X5R; 10%; 1206; cut tape. NRND, but listed stock available."
"C12,C13","4.7uF","2","Murata Electronics","GRM32ER71H475KA88L","490-1864-1-ND","https://www.digikey.com/en/products/detail/murata-electronics/GRM32ER71H475KA88L/586595","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","","2","4.7uF; 50V; X7R; 10%; 1210; cut tape. Existing selected part retained; NRND."
"C14,C15","470uF 10V","2","Nichicon","UVR1C471MPD1TD","UVR1C471MPDDCT-ND","https://www.digikey.com/en/products/detail/nichicon/UVR1C471MPD1TD/3438545","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","2","470uF; 16V (exceeds 10V requirement); 8mm diameter; 3.5mm pitch; 13mm max height; cut tape."
"C18","47uF 10V","1","Panasonic Industry","EEU-FC1C470","P11196-ND","https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FC1C470/356100","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","1","47uF; 16V (exceeds 10V requirement); 5mm diameter; 2mm pitch; 12mm max height; bulk."
